year,formal_institutions_incl_military,formal_institutions_excl_military,military_institutions,informal_cultural_norms,informal_relationships,informal_overall
1977,0.396375,0.341625,0.5193333333333333,0.5343333333333333,0.5623333333333334,0.5315555555555556
1978,0.3695,0.322,0.429,0.568,0.6368,0.5822
1979,0.36619999999999997,0.3278,0.41075,0.5399999999999999,0.5877142857142857,0.5542857142857143
1980,0.40399999999999997,0.3487142857142857,0.4555,0.5670000000000001,0.6023333333333334,0.5718888888888889
1981,0.397125,0.339625,0.4992,0.5545,0.6305555555555555,0.5808
1982,0.3618,0.3323333333333333,0.51425,0.5702857142857143,0.6284444444444445,0.5838888888888889
1983,0.3617142857142857,0.3138571428571429,0.47379999999999994,0.5777777777777778,0.6653,0.6094
1984,0.3579,0.2927,0.4706,0.5626,0.6938,0.623
1985,0.35375,0.298,0.46580000000000005,0.598125,0.7052222222222223,0.6293333333333333
1986,0.416875,0.3728888888888889,0.5423333333333333,0.5913999999999999,0.686,0.631
1987,0.33944444444444444,0.29169999999999996,0.46820000000000006,0.4802222222222222,0.5493333333333333,0.4957
1988,0.41616666666666663,0.3675,0.48533333333333334,0.646125,0.753125,0.690875
1989,0.3854285714285714,0.33085714285714285,0.4703333333333333,0.6062222222222222,0.6814,0.6497777777777778
1990,0.39166666666666666,0.373,0.4558,0.5974,0.6909,0.6403000000000001
1991,0.3063333333333333,0.239,0.4685,0.5920000000000001,0.6803333333333333,0.6235555555555555
1992,0.31214285714285717,0.24171428571428571,0.44375,0.5284,0.597,0.5429
1993,0.3152857142857143,0.24571428571428572,0.4076666666666667,0.5083333333333333,0.5948888888888889,0.5517142857142857
1994,0.451,0.40242857142857147,0.5536,0.5736666666666667,0.6632222222222223,0.632875
1995,0.37675,0.310625,0.48016666666666663,0.5687777777777777,0.6758888888888889,0.6188888888888889
1996,0.395,0.3473333333333333,0.496,0.5561,0.6178,0.5887777777777777
1997,0.44242857142857145,0.384,0.5612,0.533,0.6314444444444445,0.588625
1998,0.4126666666666667,0.36283333333333334,0.5023333333333334,0.612,0.6125555555555555,0.5845555555555556
1999,0.3452,0.3213333333333333,0.44325000000000003,0.6103333333333334,0.6786000000000001,0.6275000000000001
2000,0.375,0.317625,0.507,0.5355000000000001,0.5882,0.5454
2001,0.42683333333333334,0.39514285714285713,0.517,0.6024,0.6878,0.6511111111111112
2002,0.422,0.37483333333333335,0.5035000000000001,0.596125,0.6683999999999999,0.6158
2003,0.344625,0.27975,0.41459999999999997,0.5618888888888889,0.6432222222222221,0.59025
2004,0.358375,0.295875,0.4648,0.6076,0.7007,0.6391
2005,0.3322,0.2754,0.4216666666666667,0.524,0.6238888888888889,0.5577
2006,0.3764285714285714,0.3147142857142858,0.457,0.5894444444444444,0.683,0.6229
2007,0.31074999999999997,0.242,0.4355,0.5567777777777778,0.6333333333333333,0.5625
2008,0.30233333333333334,0.23316666666666666,0.422,0.532888888888889,0.6203000000000001,0.5679000000000001
2009,0.447875,0.41412499999999997,0.5188,0.6134999999999999,0.7078,0.6529
2010,0.38266666666666665,0.33466666666666667,0.445,0.6045,0.6813333333333333,0.6292222222222222
2011,0.4205,0.355625,0.5314,0.588,0.684375,0.62025
2012,0.3938333333333333,0.34833333333333333,0.47866666666666663,0.590625,0.6721999999999999,0.6151
2013,0.33816666666666667,0.2628333333333333,0.4446,0.5998888888888889,0.7012222222222222,0.6332222222222222
2014,0.32989999999999997,0.2798,0.383,0.5791111111111111,0.666,0.6003999999999999
2015,0.423,0.345375,0.5304285714285715,0.6144444444444443,0.696,0.6368
2016,0.3408333333333333,0.27066666666666667,0.449,0.5855,0.68175,0.6205
2017,0.348125,0.282875,0.4283333333333334,0.5822222222222222,0.6962222222222222,0.6179999999999999
2018,0.34285714285714286,0.26399999999999996,0.4662,0.5855,0.6857,0.6158
2019,0.384125,0.35677777777777775,0.465,0.5881111111111111,0.6754,0.6083999999999999
2020,0.36019999999999996,0.301,0.462,0.525,0.599,0.550875
2021,0.32433333333333336,0.2596666666666667,0.43625,0.5663,0.6543,0.5974
2022,0.356875,0.287375,0.4768333333333333,0.5552222222222222,0.6642222222222222,0.5964444444444444
2023,0.36033333333333334,0.29433333333333334,0.45599999999999996,0.5638333333333333,0.6638333333333334,0.5983333333333333
2024,0.36092857142857143,0.32393333333333335,0.43390909090909086,0.5832777777777778,0.6527000000000001,0.60175
2025,0.3376666666666666,0.304,0.4622857142857143,0.5315714285714286,0.597111111111111,0.5531111111111111
